Date,Country/Region,Confirmed,Recovered,Deaths
22/01/2020,Brazil,0,0,0
23/01/2020,Brazil,0,0,0
24/01/2020,Brazil,0,0,0
25/01/2020,Brazil,0,0,0
26/01/2020,Brazil,0,0,0
27/01/2020,Brazil,0,0,0
28/01/2020,Brazil,0,0,0
29/01/2020,Brazil,0,0,0
30/01/2020,Brazil,0,0,0
31/01/2020,Brazil,0,0,0
01/02/2020,Brazil,0,0,0
02/02/2020,Brazil,0,0,0
03/02/2020,Brazil,0,0,0
04/02/2020,Brazil,0,0,0
05/02/2020,Brazil,0,0,0
06/02/2020,Brazil,0,0,0
07/02/2020,Brazil,0,0,0
08/02/2020,Brazil,0,0,0
09/02/2020,Brazil,0,0,0
10/02/2020,Brazil,0,0,0
11/02/2020,Brazil,0,0,0
12/02/2020,Brazil,0,0,0
13/02/2020,Brazil,0,0,0
14/02/2020,Brazil,0,0,0
15/02/2020,Brazil,0,0,0
16/02/2020,Brazil,0,0,0
17/02/2020,Brazil,0,0,0
18/02/2020,Brazil,0,0,0
19/02/2020,Brazil,0,0,0
20/02/2020,Brazil,0,0,0
21/02/2020,Brazil,0,0,0
22/02/2020,Brazil,0,0,0
23/02/2020,Brazil,0,0,0
24/02/2020,Brazil,0,0,0
25/02/2020,Brazil,0,0,0
26/02/2020,Brazil,1,0,0
27/02/2020,Brazil,1,0,0
28/02/2020,Brazil,1,0,0
29/02/2020,Brazil,2,0,0
01/03/2020,Brazil,2,0,0
02/03/2020,Brazil,2,0,0
03/03/2020,Brazil,2,0,0
04/03/2020,Brazil,4,0,0
05/03/2020,Brazil,4,0,0
06/03/2020,Brazil,13,0,0
07/03/2020,Brazil,13,0,0
08/03/2020,Brazil,20,0,0
09/03/2020,Brazil,25,0,0
10/03/2020,Brazil,31,0,0
11/03/2020,Brazil,38,0,0
12/03/2020,Brazil,52,0,0
13/03/2020,Brazil,151,0,0
14/03/2020,Brazil,151,0,0
15/03/2020,Brazil,162,0,0
16/03/2020,Brazil,200,1,0
17/03/2020,Brazil,321,2,1
18/03/2020,Brazil,372,2,3
19/03/2020,Brazil,621,2,6
20/03/2020,Brazil,793,2,11
21/03/2020,Brazil,1021,2,15
22/03/2020,Brazil,1546,2,25
23/03/2020,Brazil,1924,2,34
24/03/2020,Brazil,2247,2,46
25/03/2020,Brazil,2554,2,59
26/03/2020,Brazil,2985,6,77
27/03/2020,Brazil,3417,6,92
28/03/2020,Brazil,3904,6,111
29/03/2020,Brazil,4256,6,136
30/03/2020,Brazil,4579,120,159
31/03/2020,Brazil,5717,127,201
01/04/2020,Brazil,6836,127,240
02/04/2020,Brazil,8044,127,324
03/04/2020,Brazil,9056,127,359
04/04/2020,Brazil,10360,127,445
05/04/2020,Brazil,11130,127,486
06/04/2020,Brazil,12161,127,564
07/04/2020,Brazil,14034,127,686
08/04/2020,Brazil,16170,127,819
09/04/2020,Brazil,18092,173,950
10/04/2020,Brazil,19638,173,1057
11/04/2020,Brazil,20727,173,1124
12/04/2020,Brazil,22192,173,1223
13/04/2020,Brazil,23430,173,1328
14/04/2020,Brazil,25262,3046,1532
15/04/2020,Brazil,28320,14026,1736
16/04/2020,Brazil,30425,14026,1924
17/04/2020,Brazil,33682,14026,2141
18/04/2020,Brazil,36658,14026,2354
19/04/2020,Brazil,38654,22130,2462
20/04/2020,Brazil,40743,22130,2587
21/04/2020,Brazil,43079,22991,2741
22/04/2020,Brazil,45757,25318,2906
23/04/2020,Brazil,50036,26573,3331
24/04/2020,Brazil,54043,27655,3704
25/04/2020,Brazil,59324,29160,4057
26/04/2020,Brazil,63100,30152,4286
27/04/2020,Brazil,67446,31142,4603
28/04/2020,Brazil,73235,32544,5083
29/04/2020,Brazil,79685,34132,5513
