Date,Country/Region,Confirmed,Recovered,Deaths,Confirmed/m,Recovered/m,Deaths/m
22/01/2020,Brazil,0,0,0,0,0,0
23/01/2020,Brazil,0,0,0,0,0,0
24/01/2020,Brazil,0,0,0,0,0,0
25/01/2020,Brazil,0,0,0,0,0,0
26/01/2020,Brazil,0,0,0,0,0,0
27/01/2020,Brazil,0,0,0,0,0,0
28/01/2020,Brazil,0,0,0,0,0,0
29/01/2020,Brazil,0,0,0,0,0,0
30/01/2020,Brazil,0,0,0,0,0,0
31/01/2020,Brazil,0,0,0,0,0,0
01/02/2020,Brazil,0,0,0,0,0,0
02/02/2020,Brazil,0,0,0,0,0,0
03/02/2020,Brazil,0,0,0,0,0,0
04/02/2020,Brazil,0,0,0,0,0,0
05/02/2020,Brazil,0,0,0,0,0,0
06/02/2020,Brazil,0,0,0,0,0,0
07/02/2020,Brazil,0,0,0,0,0,0
08/02/2020,Brazil,0,0,0,0,0,0
09/02/2020,Brazil,0,0,0,0,0,0
10/02/2020,Brazil,0,0,0,0,0,0
11/02/2020,Brazil,0,0,0,0,0,0
12/02/2020,Brazil,0,0,0,0,0,0
13/02/2020,Brazil,0,0,0,0,0,0
14/02/2020,Brazil,0,0,0,0,0,0
15/02/2020,Brazil,0,0,0,0,0,0
16/02/2020,Brazil,0,0,0,0,0,0
17/02/2020,Brazil,0,0,0,0,0,0
18/02/2020,Brazil,0,0,0,0,0,0
19/02/2020,Brazil,0,0,0,0,0,0
20/02/2020,Brazil,0,0,0,0,0,0
21/02/2020,Brazil,0,0,0,0,0,0
22/02/2020,Brazil,0,0,0,0,0,0
23/02/2020,Brazil,0,0,0,0,0,0
24/02/2020,Brazil,0,0,0,0,0,0
25/02/2020,Brazil,0,0,0,0,0,0
26/02/2020,Brazil,1,0,0,0.00477327,0,0
27/02/2020,Brazil,1,0,0,0.00477327,0,0
28/02/2020,Brazil,1,0,0,0.00477327,0,0
29/02/2020,Brazil,2,0,0,0.009546539,0,0
01/03/2020,Brazil,2,0,0,0.009546539,0,0
02/03/2020,Brazil,2,0,0,0.009546539,0,0
03/03/2020,Brazil,2,0,0,0.009546539,0,0
04/03/2020,Brazil,4,0,0,0.019093079,0,0
05/03/2020,Brazil,4,0,0,0.019093079,0,0
06/03/2020,Brazil,13,0,0,0.062052506,0,0
07/03/2020,Brazil,13,0,0,0.062052506,0,0
08/03/2020,Brazil,20,0,0,0.095465394,0,0
09/03/2020,Brazil,25,0,0,0.119331742,0,0
10/03/2020,Brazil,31,0,0,0.14797136,0,0
11/03/2020,Brazil,38,0,0,0.181384248,0,0
12/03/2020,Brazil,52,0,0,0.248210024,0,0
13/03/2020,Brazil,151,0,0,0.720763723,0,0
14/03/2020,Brazil,151,0,0,0.720763723,0,0
15/03/2020,Brazil,162,0,0,0.77326969,0,0
16/03/2020,Brazil,200,1,0,0.954653938,0.00477327,0
17/03/2020,Brazil,321,2,1,1.53221957,0.009546539,0.00477327
18/03/2020,Brazil,372,2,3,1.775656325,0.009546539,0.014319809
19/03/2020,Brazil,621,2,6,2.964200477,0.009546539,0.028639618
20/03/2020,Brazil,793,2,11,3.785202864,0.009546539,0.052505967
21/03/2020,Brazil,1021,2,15,4.873508353,0.009546539,0.071599045
22/03/2020,Brazil,1546,2,25,7.37947494,0.009546539,0.119331742
23/03/2020,Brazil,1924,2,34,9.183770883,0.009546539,0.162291169
24/03/2020,Brazil,2247,2,46,10.72553699,0.009546539,0.219570406
25/03/2020,Brazil,2554,2,59,12.19093079,0.009546539,0.281622912
